prA,prB,agentA,agentB,userA,userB,startA,endA,startB,endB,stateA,stateB,cross,overlap_seconds,repo_id,repo,stratum,draw_index,match_role
7835,7921,Cursor,Cursor,ericokuma,ericokuma,1756230404.0,1758309831.0,1757523373.0,1757549423.0,closed_unmerged,merged,False,26050.0,436466520,rilldata/rill,same,17,intra
44,47,OpenAI_Codex,OpenAI_Codex,ElectNewt,ElectNewt,1750017316.0,1751614680.0,1751319304.0,1751614520.0,closed_unmerged,closed_unmerged,False,295216.0,440332807,ElectNewt/Distribt,same,0,intra
2228,2281,Devin,Devin,devin-ai-integration[bot],devin-ai-integration[bot],1740508785.0,1741287744.0,1741118320.0,1741879616.0,closed_unmerged,closed_unmerged,False,169424.0,710601088,crewAIInc/crewAI,same,694,intra
4061,4388,OpenAI_Codex,OpenAI_Codex,mldangelo,mldangelo,1747526183.0,1751248828.0,1749566463.0,1749567536.0,closed_unmerged,merged,False,1073.0,633927609,promptfoo/promptfoo,same,142,intra
324,333,Devin,Devin,devin-ai-integration[bot],devin-ai-integration[bot],1739841590.0,1740585957.0,1740508302.0,1740585949.0,closed_unmerged,closed_unmerged,False,77647.0,689765175,different-ai/note-companion,same,19,intra
23,24,Devin,Devin,devin-ai-integration[bot],devin-ai-integration[bot],1741191134.0,1741219029.0,1741206461.0,1741219757.0,merged,merged,False,12568.0,941289933,antiwork/helper,same,2,intra
136,137,OpenAI_Codex,OpenAI_Codex,benjaminshafii,benjaminshafii,1749150853.0,1749151547.0,1749150858.0,1749151283.0,merged,merged,False,425.0,883825890,different-ai/zero-finance,same,10,intra
3329,3690,Devin,Devin,devin-ai-integration[bot],devin-ai-integration[bot],1744730856.0,1756858748.0,1753194533.0,1753199702.0,closed_unmerged,merged,False,5169.0,352436122,neondatabase/website,same,293,intra
3733,3746,Devin,Devin,devin-ai-integration[bot],devin-ai-integration[bot],1760064682.0,1761122857.0,1760085079.0,1760089946.0,closed_unmerged,merged,False,4867.0,839216423,liam-hq/liam,same,3489,intra
4437,4455,Devin,Devin,devin-ai-integration[bot],devin-ai-integration[bot],1748589073.0,1749047370.0,1748938711.0,1749550930.0,merged,merged,False,108659.0,127246132,reown-com/appkit,same,106,intra
609,615,Devin,Devin,devin-ai-integration[bot],devin-ai-integration[bot],1753206752.0,1753909442.0,1753274450.0,1753625785.0,closed_unmerged,merged,False,351335.0,955904085,antiwork/flexile,same,677,intra
1800,1847,Devin,Devin,devin-ai-integration[bot],devin-ai-integration[bot],1752590934.0,1753902026.0,1753403125.0,1753448665.0,merged,merged,False,45540.0,787076358,firecrawl/firecrawl,same,252,intra
959,997,OpenAI_Codex,OpenAI_Codex,guillevalin,nicarq,1749065296.0,1749856026.0,1749702981.0,1749755385.0,merged,merged,False,52404.0,685141528,dcSpark/shinkai-local-ai-agents,same,305,intra
1094,1097,Devin,Devin,devin-ai-integration[bot],devin-ai-integration[bot],1742913154.0,1743690303.0,1743264029.0,1743351261.0,closed_unmerged,closed_unmerged,False,87232.0,442321089,Cap-go/capgo,same,287,intra
1364,1372,Devin,Devin,devin-ai-integration[bot],devin-ai-integration[bot],1758967872.0,1758984889.0,1758972195.0,1758986104.0,merged,merged,False,12694.0,959682770,antiwork/gumroad,same,760,intra
601,603,OpenAI_Codex,OpenAI_Codex,ianmacartney,ianmacartney,1748209935.0,1748211499.0,1748209961.0,1748211509.0,merged,merged,False,1538.0,591435512,get-convex/convex-helpers,same,7,intra
208,215,Devin,Devin,devin-ai-integration[bot],devin-ai-integration[bot],1748258349.0,1751760244.0,1748296992.0,1748299939.0,merged,merged,False,2947.0,965250949,theopenco/llmgateway,same,291,intra
84,109,OpenAI_Codex,OpenAI_Codex,ryokun6,ryokun6,1747925165.0,1749705807.0,1748317624.0,1748317633.0,closed_unmerged,merged,False,9.0,923332984,ryokun6/ryos,same,310,intra
5819,5829,Devin,Devin,devin-ai-integration[bot],devin-ai-integration[bot],1747384350.0,1748254450.0,1747412329.0,1747442299.0,merged,closed_unmerged,False,29970.0,500289888,formbricks/formbricks,same,0,intra
828,846,Devin,Devin,devin-ai-integration[bot],devin-ai-integration[bot],1741888499.0,1742316467.0,1741993812.0,1741993887.0,closed_unmerged,closed_unmerged,False,75.0,679017521,AgentOps-AI/agentops,same,7,intra
1754,1757,Devin,Devin,devin-ai-integration[bot],devin-ai-integration[bot],1753810868.0,1754582240.0,1753986283.0,1754752481.0,closed_unmerged,closed_unmerged,False,595957.0,653589102,567-labs/instructor,same,77,intra
8940,8941,Cursor,Cursor,scopsy,scopsy,1755240545.0,1755413619.0,1755241498.0,1755544576.0,merged,merged,False,172121.0,400215964,novuhq/novu,same,72,intra
2565,2574,Devin,Devin,devin-ai-integration[bot],devin-ai-integration[bot],1754052891.0,1754751839.0,1754476173.0,1755187374.0,closed_unmerged,closed_unmerged,False,275666.0,370740787,liveblocks/liveblocks,same,35,intra
5332,5334,Cursor,Cursor,wtfsayo,wtfsayo,1751315382.0,1751353160.0,1751316250.0,1751353134.0,closed_unmerged,closed_unmerged,False,36884.0,826170402,elizaOS/eliza,same,71,intra
341,348,Devin,Devin,devin-ai-integration[bot],devin-ai-integration[bot],1744460883.0,1744945540.0,1744500239.0,1744505321.0,closed_unmerged,closed_unmerged,False,5082.0,832552991,ai-shifu/ai-shifu,same,3,intra
7634,7635,Devin,Devin,devin-ai-integration[bot],devin-ai-integration[bot],1753719774.0,1753805058.0,1753719900.0,1753914102.0,closed_unmerged,merged,False,85158.0,297778512,onflow/flow-go,same,17,intra
72,73,Devin,Devin,devin-ai-integration[bot],devin-ai-integration[bot],1751317697.0,1751318065.0,1751317871.0,1751318096.0,closed_unmerged,merged,False,194.0,899407931,firecrawl/firecrawl-mcp-server,same,0,intra
324,333,OpenAI_Codex,OpenAI_Codex,steipete,steipete,1752313969.0,1752632326.0,1752345560.0,1752542655.0,closed_unmerged,merged,False,197095.0,1002552148,amantus-ai/vibetunnel,same,8,intra
1407,1515,Devin,Devin,devin-ai-integration[bot],devin-ai-integration[bot],1747128291.0,1750081181.0,1749455874.0,1749456415.0,closed_unmerged,closed_unmerged,False,541.0,575321313,langbot-app/LangBot,same,10,intra
248,278,Devin,Devin,devin-ai-integration[bot],devin-ai-integration[bot],1748693610.0,1749284617.0,1749073671.0,1751327396.0,closed_unmerged,closed_unmerged,False,210946.0,917974798,alchemy-run/alchemy,same,97,intra
54,55,Claude_Code,Claude_Code,jxnl,jxnl,1748069309.0,1748071513.0,1748069475.0,1748069501.0,closed_unmerged,closed_unmerged,False,26.0,912106066,567-labs/kura,same,2,intra
982,984,OpenAI_Codex,OpenAI_Codex,suin,suin,1747478144.0,1747558648.0,1747478613.0,1747523931.0,merged,merged,False,45318.0,228538361,yytypescript/book,same,13,intra
2147,2148,Cursor,Cursor,marcklingen,jannikmaierhoefer,1759409176.0,1759409688.0,1759409416.0,1759412379.0,merged,merged,False,272.0,643978507,langfuse/langfuse-docs,same,112,intra
340,524,OpenAI_Codex,OpenAI_Codex,lawrencecchen,lawrencecchen,1758170382.0,1759970322.0,1759607509.0,1759607886.0,closed_unmerged,merged,False,377.0,1026429198,manaflow-ai/cmux,same,369,intra
630,631,Devin,Devin,devin-ai-integration[bot],devin-ai-integration[bot],1754064390.0,1754760195.0,1754168313.0,1754926479.0,closed_unmerged,closed_unmerged,False,591882.0,902291246,portiaAI/portia-sdk-python,same,7,intra
314,317,OpenAI_Codex,OpenAI_Codex,leerob,leerob,1747521050.0,1750539698.0,1747841112.0,1747841200.0,closed_unmerged,closed_unmerged,False,88.0,103436741,vercel/hyper-site,same,0,intra
8572,8595,Cursor,Cursor,0xRobin,0xRobin,1753859033.0,1756100608.0,1754295348.0,1754295661.0,closed_unmerged,merged,False,313.0,237392204,duneanalytics/spellbook,same,1,intra
631,634,OpenAI_Codex,OpenAI_Codex,daveey,daveey,1747981919.0,1748005924.0,1747998239.0,1748019715.0,closed_unmerged,merged,False,7685.0,843988367,Metta-AI/metta,same,50,intra
42,87,Claude_Code,Claude_Code,rgthelen,rgthelen,1754502078.0,1758124132.0,1755704416.0,1755706283.0,closed_unmerged,merged,False,1867.0,1017038703,llama-farm/llamafarm,same,4,intra
409,435,Cursor,Cursor,chelojimenez,chelojimenez,1755300367.0,1756096582.0,1756025458.0,1756096572.0,closed_unmerged,closed_unmerged,False,71114.0,989134268,MCPJam/inspector,same,9,intra
1463,1499,OpenAI_Codex,OpenAI_Codex,Helw150,dlwh,1752984541.0,1755016468.0,1754099091.0,1755814784.0,closed_unmerged,closed_unmerged,False,917377.0,775839592,marin-community/marin,same,39,intra
2566,2580,Cursor,Cursor,aaronvg,hellovai,1759515442.0,1759943637.0,1759779470.0,1759781057.0,closed_unmerged,merged,False,1587.0,701494311,BoundaryML/baml,same,27,intra
397,403,OpenAI_Codex,OpenAI_Codex,djwhitt,djwhitt,1748092805.0,1748390243.0,1748224010.0,1748366797.0,merged,merged,False,142787.0,480614136,ar-io/ar-io-node,same,8,intra
18271,18277,Cursor,Cursor,georgewrmarshall,georgewrmarshall,1755017739.0,1755031610.0,1755027294.0,1755048756.0,merged,merged,False,4316.0,141427485,MetaMask/metamask-mobile,same,11,intra
741,745,OpenAI_Codex,OpenAI_Codex,schickling,schickling,1760101295.0,1760464769.0,1760458890.0,1760465751.0,closed_unmerged,closed_unmerged,False,5879.0,694709543,livestorejs/livestore,same,32,intra
14016,14019,Cursor,Cursor,hsheth2,hsheth2,1752096613.0,1752164782.0,1752098465.0,1752162301.0,merged,merged,False,63836.0,46398090,datahub-project/datahub,same,1,intra
95780,96009,Cursor,Cursor,billyvg,armenzg,1752763075.0,1753122091.0,1753120756.0,1753123229.0,merged,closed_unmerged,False,1335.0,873328,getsentry/sentry,same,272,intra
2341,2342,OpenAI_Codex,OpenAI_Codex,Dimillian,Dimillian,1760422689.0,1760424646.0,1760422947.0,1760425184.0,merged,merged,False,1699.0,568430347,Dimillian/IceCubesApp,same,0,intra
14973,14982,OpenAI_Codex,OpenAI_Codex,buddhika75,buddhika75,1755504468.0,1755541668.0,1755517021.0,1755517069.0,closed_unmerged,merged,False,48.0,21764480,hmislk/hmis,same,74,intra
906,1160,OpenAI_Codex,OpenAI_Codex,karakanb,turtleDev,1752252153.0,1760086260.0,1759244130.0,1759244885.0,closed_unmerged,merged,False,755.0,674225653,bruin-data/bruin,same,122,intra
5286,5290,Claude_Code,Claude_Code,max-sixty,max-sixty,1747442801.0,1747464855.0,1747446205.0,1747448203.0,merged,merged,False,1998.0,449091292,PRQL/prql,same,1,intra
34098,35221,Cursor,Cursor,georgewrmarshall,georgewrmarshall,1751675592.0,1756225708.0,1755661656.0,1755883908.0,merged,merged,False,222252.0,42009758,MetaMask/metamask-extension,same,8,intra
429,451,OpenAI_Codex,OpenAI_Codex,dkundel-openai,seratch,1756922288.0,1759197845.0,1757401010.0,1757715130.0,closed_unmerged,merged,False,314120.0,993521808,openai/openai-agents-js,same,24,intra
24,38,Cursor,Cursor,ishaan1013,ishaan1013,1753068606.0,1753410396.0,1753395346.0,1753650438.0,closed_unmerged,merged,False,15050.0,1018698329,ishaan1013/shadow,same,13,intra
161,163,OpenAI_Codex,OpenAI_Codex,mfat,mfat,1756692313.0,1756692327.0,1756692320.0,1757002472.0,merged,closed_unmerged,False,7.0,1029240529,mfat/sshpilot,same,171,intra
96,117,OpenAI_Codex,OpenAI_Codex,georgi,heavy-d,1748531263.0,1757966115.0,1748782192.0,1748954201.0,closed_unmerged,closed_unmerged,False,172009.0,777230015,nodetool-ai/nodetool,same,259,intra
1209,1241,OpenAI_Codex,OpenAI_Codex,transphorm,transphorm,1759621795.0,1760028809.0,1759927861.0,1759929354.0,merged,merged,False,1493.0,669466632,selfxyz/self,same,541,intra
371,372,OpenAI_Codex,OpenAI_Codex,softmarshmallow,softmarshmallow,1748614411.0,1748626120.0,1748614423.0,1748625800.0,closed_unmerged,merged,False,11377.0,338529997,gridaco/grida,same,6,intra
5843,6005,OpenAI_Codex,OpenAI_Codex,rgerhards,rgerhards,1753041088.0,1756741575.0,1755802825.0,1755847073.0,closed_unmerged,merged,False,44248.0,10458362,rsyslog/rsyslog,same,434,intra
163,168,Cursor,Cursor,willccbb,willccbb,1753657872.0,1758587822.0,1753723678.0,1758587835.0,closed_unmerged,closed_unmerged,False,4864144.0,920603619,PrimeIntellect-ai/verifiers,same,5,intra
2705,2811,Cursor,Cursor,MagMueller,MagMueller,1755470385.0,1756529672.0,1756190673.0,1756923344.0,merged,closed_unmerged,False,338999.0,881458615,browser-use/browser-use,same,176,intra
893,897,Cursor,Cursor,jmoseley,jmoseley,1753116764.0,1753136691.0,1753130152.0,1753130164.0,merged,merged,False,12.0,899766976,gensx-inc/gensx,same,2,intra
14132,14135,OpenAI_Codex,OpenAI_Codex,ottenhoff,ottenhoff,1759284560.0,1759852683.0,1759334211.0,1761157766.0,merged,merged,False,518472.0,28589709,sakaiproject/sakai,same,2,intra
73,74,OpenAI_Codex,OpenAI_Codex,malinosqui,malinosqui,1749142553.0,1749165804.0,1749165498.0,1749165966.0,closed_unmerged,closed_unmerged,False,306.0,956679248,kodustech/kodus-ai,same,0,intra
235,243,OpenAI_Codex,OpenAI_Codex,karakanb,sabrikaragonen,1749417908.0,1749661379.0,1749603038.0,1749627905.0,closed_unmerged,closed_unmerged,False,24867.0,756594023,bruin-data/ingestr,same,1,intra
409,410,OpenAI_Codex,OpenAI_Codex,pierrevalade,pierrevalade,1749615362.0,1749659192.0,1749619044.0,1750867643.0,closed_unmerged,closed_unmerged,False,40148.0,899127822,WorkflowAI/WorkflowAI,same,91,intra
26,28,OpenAI_Codex,OpenAI_Codex,Sls0n,Sls0n,1749723838.0,1749729817.0,1749729068.0,1749729741.0,closed_unmerged,merged,False,673.0,663834147,Sls0n/Prismify,same,2,intra
19,24,OpenAI_Codex,OpenAI_Codex,acoyfellow,acoyfellow,1751362679.0,1754596629.0,1751978130.0,1751980154.0,closed_unmerged,merged,False,2024.0,989324445,acoyfellow/UserDO,same,26,intra
3664,3676,OpenAI_Codex,OpenAI_Codex,samuelstroschein,samuelstroschein,1754667256.0,1757125047.0,1755709266.0,1755709278.0,closed_unmerged,merged,False,12.0,394757291,opral/monorepo,same,1,intra
387,389,OpenAI_Codex,OpenAI_Codex,aldinokemal,aldinokemal,1754628394.0,1754631511.0,1754628485.0,1754631649.0,merged,merged,False,3026.0,457435290,aldinokemal/go-whatsapp-web-multidevice,same,3,intra
1507,1543,OpenAI_Codex,OpenAI_Codex,St0rmBr3w,St0rmBr3w,1747801839.0,1753311141.0,1748826362.0,1748834595.0,closed_unmerged,merged,False,8233.0,716778600,LayerZero-Labs/devtools,same,13,intra
3186,3230,Cursor,Cursor,RonFed,edeNFed,1752587525.0,1753599559.0,1753548010.0,1757783415.0,merged,closed_unmerged,False,51549.0,501095512,odigos-io/odigos,same,6,intra
2840,2881,Cursor,Cursor,calbera,calbera,1751914073.0,1756145653.0,1755194765.0,1755196100.0,merged,closed_unmerged,False,1335.0,752003386,berachain/beacon-kit,same,0,intra
4420,4424,Cursor,Cursor,kavinvalli,devinat1,1755413191.0,1755725688.0,1755487017.0,1755809398.0,closed_unmerged,closed_unmerged,False,238671.0,595832198,Helicone/helicone,same,11,intra
265,270,Copilot,Google_Jules,Copilot,google-labs-jules[bot],1757861239.0,1757998324.0,1757881050.0,1757933294.0,merged,closed_unmerged,True,52244.0,996430110,Ayush0Chaudhary/blurr,cross,2,cross
267,275,Copilot,Google_Jules,Copilot,google-labs-jules[bot],1752888067.0,1755038795.0,1754121731.0,1754124955.0,merged,merged,True,3224.0,768813127,nandyalu/trailarr,cross,1,cross
18,20,Google_Jules,OpenAI_Codex,google-labs-jules[bot],EdwardTang,1757600666.0,1757639232.0,1757632683.0,1757745047.0,closed_unmerged,closed_unmerged,True,6549.0,1045839248,good-night-oppie/helios,cross,1,cross
10,12,Google_Jules,Copilot,google-labs-jules[bot],Copilot,1752174578.0,1752258912.0,1752254002.0,1752257603.0,closed_unmerged,merged,True,3601.0,1011570102,jlucaso1/whatsapp-rust,cross,0,cross
1688,1713,OpenAI_Codex,Google_Jules,panarch,google-labs-jules[bot],1754107661.0,1755416728.0,1754534848.0,1754535489.0,merged,merged,True,641.0,227265548,gluesql/gluesql,cross,1,cross
3106,3107,OpenAI_Codex,Copilot,julien-c,Copilot,1748012349.0,1749026081.0,1748022911.0,1749025267.0,closed_unmerged,closed_unmerged,True,1002356.0,323591830,huggingface/huggingface_hub,cross,0,cross
307,311,OpenAI_Codex,Google_Jules,afadil,google-labs-jules[bot],1750367788.0,1751031368.0,1751027747.0,1751031569.0,merged,merged,True,3621.0,806618581,afadil/wealthfolio,cross,1,cross
328,346,Google_Jules,Copilot,google-labs-jules[bot],Copilot,1751232735.0,1758409805.0,1757103174.0,1757103912.0,closed_unmerged,merged,True,738.0,72041948,kelleyma49/PSFzf,cross,5,cross
187,194,Google_Jules,OpenAI_Codex,google-labs-jules[bot],Fannon,1757301722.0,1759657040.0,1759652729.0,1759653125.0,closed_unmerged,closed_unmerged,True,396.0,389284278,Fannon/search-bookmarks-history-and-tabs,cross,1,cross
133,137,Google_Jules,OpenAI_Codex,google-labs-jules[bot],vinhnx,1759417424.0,1759487747.0,1759482424.0,1759487611.0,closed_unmerged,merged,True,5187.0,1046809510,vinhnx/vtcode,cross,4,cross
36,53,OpenAI_Codex,Copilot,desaxce,Copilot,1753382978.0,1760015594.0,1760015544.0,1760370263.0,closed_unmerged,merged,True,50.0,971551940,project-numina/kimina-lean-server,cross,0,cross
3459,3471,OpenAI_Codex,Copilot,six7,Copilot,1752561991.0,1755089934.0,1753356994.0,1753862726.0,merged,closed_unmerged,True,505732.0,265001214,tokens-studio/figma-plugin,cross,122,cross
36050,36366,Copilot,OpenAI_Codex,Copilot,mxschmitt,1747930389.0,1751359089.0,1750401245.0,1750404237.0,closed_unmerged,merged,True,2992.0,221981891,microsoft/playwright,cross,0,cross
16031,16078,Copilot,Claude_Code,Copilot,CamSoper,1758207077.0,1758912120.0,1758746311.0,1760456190.0,closed_unmerged,closed_unmerged,True,165809.0,104365663,pulumi/docs,cross,1,cross
42988,43269,OpenAI_Codex,Copilot,adamh-oai,Copilot,1757701995.0,1760134900.0,1759803111.0,1759984290.0,closed_unmerged,merged,True,181179.0,4127088,Azure/azure-sdk-for-python,cross,4,cross
2422,2425,Cursor,OpenAI_Codex,bobzhang,bobzhang,1752056140.0,1753089927.0,1752141045.0,1752141495.0,closed_unmerged,merged,True,450.0,749681472,moonbitlang/core,cross,6,cross
157,158,Copilot,OpenAI_Codex,Copilot,estruyf,1750159726.0,1750175178.0,1750173836.0,1750175165.0,closed_unmerged,merged,True,1329.0,726072067,estruyf/vscode-demo-time,cross,4,cross
2046,2092,OpenAI_Codex,Copilot,liamsi,Copilot,1750539816.0,1756741661.0,1751275921.0,1751284095.0,closed_unmerged,closed_unmerged,True,8174.0,221931137,celestiaorg/celestia-core,cross,11,cross
38920,39163,OpenAI_Codex,Copilot,webjunkie,Copilot,1759321810.0,1760542853.0,1759750795.0,1760442319.0,closed_unmerged,closed_unmerged,True,691524.0,235901813,PostHog/posthog,cross,2,cross
2066,2088,Copilot,OpenAI_Codex,Copilot,DonKoko,1758883044.0,1760347259.0,1759485022.0,1759486993.0,merged,merged,True,1971.0,600113513,Shelf-nu/shelf.nu,cross,38,cross
3473,3483,Copilot,OpenAI_Codex,Copilot,Rockyy174,1758556358.0,1758631681.0,1758626041.0,1758819282.0,merged,closed_unmerged,True,5640.0,607729034,operately/operately,cross,28,cross
1146,1198,Copilot,Claude_Code,Copilot,gubatron,1758828511.0,1761415903.0,1760020121.0,1760021527.0,closed_unmerged,merged,True,1406.0,45490972,frostwire/frostwire,cross,0,cross
252571,252589,Copilot,OpenAI_Codex,Copilot,lalomorales22,1750983784.0,1756311231.0,1751001249.0,1751001332.0,closed_unmerged,closed_unmerged,True,83.0,41881900,microsoft/vscode,cross,10,cross
342,343,Copilot,OpenAI_Codex,Copilot,alexrodl,1749823192.0,1751906473.0,1749846512.0,1749847830.0,closed_unmerged,closed_unmerged,True,1318.0,898171798,microsoft/fabric-cicd,cross,0,cross
4617,5546,Copilot,Claude_Code,Copilot,snomiao,1753930557.0,1760982590.0,1757813545.0,1757817250.0,closed_unmerged,closed_unmerged,True,3705.0,814403270,Comfy-Org/ComfyUI_frontend,cross,7,cross
18255,18256,Claude_Code,Copilot,alkispoly-db,Copilot,1760159645.0,1760309436.0,1760160766.0,1760170087.0,merged,merged,True,9321.0,136202695,mlflow/mlflow,cross,62,cross
20,36,Copilot,OpenAI_Codex,Copilot,aavetis,1749398723.0,1750769269.0,1750468608.0,1750769172.0,closed_unmerged,closed_unmerged,True,300564.0,988545158,aavetis/PRarena,cross,0,cross
1521,1524,Claude_Code,Copilot,github-actions[bot],Copilot,1760161157.0,1760194440.0,1760162366.0,1760163543.0,merged,merged,True,1177.0,1036865607,githubnext/gh-aw,cross,5,cross
1605,1610,Copilot,OpenAI_Codex,Copilot,clairernovotny,1759968775.0,1759980555.0,1759978183.0,1759979380.0,merged,merged,True,1197.0,4213474,Humanizr/Humanizer,cross,0,cross
14380,14397,Copilot,Claude_Code,Copilot,Boshen,1759761197.0,1759823907.0,1759806531.0,1759810466.0,merged,merged,True,3935.0,599431918,oxc-project/oxc,cross,27,cross
254,297,Copilot,OpenAI_Codex,Copilot,machinewrapped,1754851000.0,1756826381.0,1756394650.0,1756394675.0,closed_unmerged,merged,True,25.0,617799085,machinewrapped/llm-subtrans,cross,1,cross
967,1029,Copilot,Claude_Code,Copilot,xerial,1748897702.0,1753925627.0,1750735588.0,1750737470.0,closed_unmerged,merged,True,1882.0,846769747,wvlet/wvlet,cross,3,cross
705,706,Copilot,OpenAI_Codex,Copilot,pardeike,1755766382.0,1755784778.0,1755771302.0,1755785543.0,closed_unmerged,merged,True,13476.0,78002587,pardeike/Harmony,cross,0,cross
23257,23300,Copilot,OpenAI_Codex,Copilot,WoosukKwon,1755696002.0,1757450858.0,1755741624.0,1757966795.0,closed_unmerged,closed_unmerged,True,1709234.0,599547518,vllm-project/vllm,cross,8,cross
11336,11453,Copilot,Claude_Code,Copilot,h-a-n-a,1754622587.0,1755848538.0,1755770461.0,1755773023.0,merged,merged,True,2562.0,476642602,web-infra-dev/rspack,cross,0,cross
4719,4875,OpenAI_Codex,Copilot,saracarl,Copilot,1750799334.0,1757360485.0,1756913306.0,1760046659.0,closed_unmerged,merged,True,447179.0,509028,benwbrum/fromthepage,cross,34,cross
1963,1964,Copilot,OpenAI_Codex,Copilot,lavrton,1755974185.0,1755984809.0,1755974590.0,1755976840.0,closed_unmerged,closed_unmerged,True,2250.0,29011477,konvajs/konva,cross,0,cross
909,945,Claude_Code,OpenAI_Codex,satococoa,toyamarinyon,1747814265.0,1748411360.0,1747990275.0,1748224580.0,closed_unmerged,closed_unmerged,True,234305.0,845317529,giselles-ai/giselle,cross,20,cross
102,104,Copilot,OpenAI_Codex,Copilot,gtg922r,1748492394.0,1748677199.0,1748670974.0,1748671238.0,merged,merged,True,264.0,552234230,gtg922r/obsidian-numerals,cross,1,cross
22554,22655,Cursor,Copilot,xxchan,Copilot,1752128152.0,1752828649.0,1752762979.0,1752828981.0,merged,merged,True,65670.0,453068084,risingwavelabs/risingwave,cross,4,cross
8022,8026,OpenAI_Codex,Copilot,AlexeyGirin,Copilot,1759816137.0,1759856217.0,1759817526.0,1759856644.0,merged,merged,True,38691.0,102537698,epam/ketcher,cross,2,cross
1041,1046,Copilot,OpenAI_Codex,Copilot,chezsmithy,1757809286.0,1759442246.0,1757968198.0,1758233375.0,closed_unmerged,closed_unmerged,True,265177.0,999686447,microsoft/vscode-copilot-chat,cross,1,cross
852,853,Cursor,Copilot,lukekarrys,Copilot,1749662456.0,1749687245.0,1749666697.0,1750099742.0,merged,merged,True,20548.0,780660899,vltpkg/vltpkg,cross,3,cross
32077,32105,Copilot,OpenAI_Codex,Copilot,cbwinslow,1752706413.0,1753119613.0,1752874348.0,1752875750.0,closed_unmerged,closed_unmerged,True,1402.0,552661142,langchain-ai/langchain,cross,0,cross
1137,1245,Copilot,OpenAI_Codex,Copilot,mosch,1749126077.0,1751283022.0,1750429808.0,1750859303.0,merged,closed_unmerged,True,429495.0,843437350,zuplo/zudoku,cross,10,cross
1364,1379,Copilot,OpenAI_Codex,Copilot,lupino3,1749027814.0,1752654090.0,1751290177.0,1751290264.0,merged,merged,True,87.0,2327138,EduMIPS64/edumips64,cross,1,cross
6855,6873,Copilot,OpenAI_Codex,Copilot,sfmskywalker,1755610360.0,1757668524.0,1755952721.0,1755954148.0,closed_unmerged,closed_unmerged,True,1427.0,151148482,elsa-workflows/elsa-core,cross,0,cross
565,717,OpenAI_Codex,Copilot,richiemcilroy,Copilot,1747922264.0,1758982186.0,1751564208.0,1751565587.0,closed_unmerged,merged,True,1379.0,720209383,CapSoftware/Cap,cross,1,cross
10998,11055,Cursor,Copilot,ntindle,Copilot,1758842528.0,1760993903.0,1759438106.0,1760534256.0,merged,merged,True,1096150.0,614765452,Significant-Gravitas/AutoGPT,cross,61,cross
301,352,Copilot,OpenAI_Codex,Copilot,hardfist,1756133889.0,1758196276.0,1757391545.0,1757485744.0,closed_unmerged,closed_unmerged,True,94199.0,1019382196,web-infra-dev/rslint,cross,5,cross
337,338,Copilot,Cursor,Copilot,kentcdodds,1757542638.0,1758170001.0,1757974722.0,1757980939.0,closed_unmerged,merged,True,6217.0,593184777,epicweb-dev/epicshop,cross,85,cross
882,884,Copilot,Cursor,Copilot,l1b0k,1757062823.0,1758542249.0,1757172695.0,1758542283.0,closed_unmerged,closed_unmerged,True,1369554.0,142563999,AliyunContainerService/terway,cross,5,cross
32369,32545,Copilot,Cursor,Copilot,yannbf,1756803230.0,1759734943.0,1758719871.0,1758789696.0,closed_unmerged,closed_unmerged,True,69825.0,54173593,storybookjs/storybook,cross,2,cross
175,222,Copilot,Claude_Code,Copilot,domdomegg,1752185942.0,1754656937.0,1754479583.0,1754492708.0,merged,merged,True,13125.0,927890076,modelcontextprotocol/registry,cross,0,cross
15359,15436,Cursor,Copilot,ishaan-jaff,Copilot,1759986626.0,1760226960.0,1760143217.0,1760230238.0,closed_unmerged,merged,True,83743.0,671269505,BerriAI/litellm,cross,19,cross
909,912,Cursor,Copilot,YunaiV,Copilot,1753859900.0,1754098206.0,1753946284.0,1754098201.0,closed_unmerged,closed_unmerged,True,151917.0,332357698,YunaiV/ruoyi-vue-pro,cross,5,cross
149696,150313,Copilot,Claude_Code,Copilot,ryansdwilson,1753902112.0,1759701914.0,1754712720.0,1754712753.0,closed_unmerged,closed_unmerged,True,33.0,12888993,home-assistant/core,cross,0,cross
6538,6588,Copilot,Claude_Code,Copilot,Brooooooklyn,1760504711.0,1761008845.0,1760665661.0,1760667031.0,merged,closed_unmerged,True,1370.0,693187866,rolldown/rolldown,cross,1,cross
2207,2521,OpenAI_Codex,Copilot,vitarb,Copilot,1749680264.0,1758057081.0,1755661447.0,1755680756.0,closed_unmerged,closed_unmerged,True,19309.0,775743011,valkey-io/valkey,cross,0,cross
68678,68752,Claude_Code,Cursor,Julesssss,neil-marcellini,1755537572.0,1755619768.0,1755612996.0,1755614571.0,merged,closed_unmerged,True,1575.0,285902689,Expensify/App,cross,0,cross
109,110,Copilot,Cursor,Copilot,Mr-Quin,1755032438.0,1755315967.0,1755040082.0,1755316181.0,closed_unmerged,merged,True,275885.0,628067244,Mr-Quin/danmaku-anywhere,cross,0,cross
1265,1277,Copilot,OpenAI_Codex,Copilot,yuyutaotao,1759146722.0,1759994815.0,1759498321.0,1760355297.0,merged,closed_unmerged,True,496494.0,832452447,web-infra-dev/midscene,cross,0,cross
